myanmar,mlcts,syllable_count,myanmar_syllables,mlcts_syllables
ကကူရံ,ka.kuram,3,က|ကူ|ရံ,ka.|ku|ram
ကကြိုး,ka.krui:,2,က|ကြိုး,ka.|krui:
ကကြိုးတန်ဆာ,ka.krui:tanhca,4,က|ကြိုး|တန်|ဆာ,ka.|krui:|tan|hca
ကကြီကကြောင်လုပ်,ka.krika.kraunglup,5,က|ကြီ|က|ကြောင်|လုပ်,ka.|kri|ka.|kraung|lup
ကကြီး,ka.kri:,2,က|ကြီး,ka.|kri:
ကကြီးထွန်,ka.kri:htwan,3,က|ကြီး|ထွန်,ka.|kri:|htwan
ကကွက်,ka.kwak,2,က|ကွက်,ka.|kwak
ကချလာ,ka.hkya.la,3,က|ချ|လာ,ka.|hkya.|la
ကချင်,ka.hkyang,2,က|ချင်,ka.|hkyang
ကချေသည်,ka.hkyesany,3,က|ချေ|သည်,ka.|hkye|sany
ကချော်ကချွတ်,ka.hkyauka.hkywat,4,က|ချော်|က|ချွတ်,ka.|hkyau|ka.|hkywat
ကစဉ့်ကရဲ,ka.cany.ka.rai:,4,က|စဉ့်|က|ရဲ,ka.|cany.|ka.|rai:
ကစဉ့်ကလျား,ka.cany.ka.lya:,4,က|စဉ့်|က|လျား,ka.|cany.|ka.|lya:
ကစား,ka.ca:,2,က|စား,ka.|ca:
ကစားကွက်,ka.ca:kwak,3,က|စား|ကွက်,ka.|ca:|kwak
ကစားကွင်း,ka.ca:kwang:,3,က|စား|ကွင်း,ka.|ca:|kwang:
ကစားခုန်စား,ka.ca:hkunca:,4,က|စား|ခုန်|စား,ka.|ca:|hkun|ca:
ကစားစရာ,ka.ca:ca.ra,4,က|စား|စ|ရာ,ka.|ca:|ca.|ra
ကစားဒိုင်,ka.ca:duing,3,က|စား|ဒိုင်,ka.|ca:|duing
ကစားဖော်,ka.ca:hpau,3,က|စား|ဖော်,ka.|ca:|hpau
ကစားဝိုင်း,ka.ca:uing:,3,က|စား|ဝိုင်း,ka.|ca:|uing:
ကစားသမား,ka.ca:sa.ma:,4,က|စား|သ|မား,ka.|ca:|sa.|ma:
ကစိန်းကဝါး,ka.cin:ka.wa:,4,က|စိန်း|က|ဝါး,ka.|cin:|ka.|wa:
ကစိုကရွား,ka.cuika.rwa:,4,က|စို|က|ရွား,ka.|cui|ka.|rwa:
ကစီ,ka.ci,2,က|စီ,ka.|ci
